"","booking_perc","host_response_time","host_response_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","host_since_duration","Dis_Fin","Dis_Dt","Dis_Airport","Dis_UnionSq","amenities_count","final_score","Score","Magnitude"
"85",0.338931297709924,"within an hour",100,"t",1,"t","t","Bernal Heights","t","Cottage","Private room",2,1,1,1,"Futon",150,1050,4500,0,70,2,50,2,120,181,98,10,10,10,10,10,"t",2939,5984.36947263933,4045.79592352482,13753.9430961481,5118.37564794753,25,1.38528942765637,0.681215470674033,4.34861877446409
"86",0,"Missing",0,"f",1,"t","t","Outer Sunset","t","House","Private room",2,1,1,1,"Real Bed",100,700,3000,0,200,2,0,60,60,1,20,9.75583203732504,9.61610228058051,2,9.60369858278604,9.3961970613656,"f",2938,8908.53275201376,6555.16971872917,17950.8855286568,8014.47474422701,6,-0.778923187689951,-0.400000006,2
"87",0.856488549618321,"within an hour",100,"t",2,"t","t","North Beach","t","Condominium","Private room",2,1,1,1,"Real Bed",135,875,4050,0,65,2,80,2,365,185,98,10,10,10,10,10,"t",2934,983.750883832878,2962.57414170993,20310.7402276027,1611.77959435765,23,1.27115439510438,0.669189188643243,3.53081080725946
"88",0.964885496183206,"within an hour",100,"t",2,"t","t","Glen Park","t","Apartment","Private room",1,1,1,1,"Real Bed",85,595,2550,0,45,1,55,3,28,35,97,10,10,10,10,10,"f",2924,6390.21421004202,4067.25242451791,14087.0215610962,5432.86675651941,19,1.35517067424415,0.735294115,3.57647058547059
"89",0.19236641221374,"within a day",100,"f",1,"t","f","Mission","t","House","Entire home/apt",6,2.5,3,4,"Real Bed",1100,5200,33000,2000,150,1,0,3,1125,52,96,10,10,10,10,9,"f",3046,4093.86133816259,1723.86403842871,16165.5466296538,3114.62045454863,22,1.37914018036459,0.699999996076923,4.05384612315385
"90",0.29618320610687,"within an hour",100,"t",4,"t","t","Mission","t","Guest suite","Entire home/apt",2,1,1,1,"Real Bed",166,1162,4980,145,65,1,0,2,29,278,92,9,9,10,9,9,"t",2936,5196.52376272261,3265.28362650138,14533.3702241599,4321.76971887142,12,1.21370947385751,0.679853477849817,3.0168498070293
"91",0.311450381679389,"within an hour",100,"f",4,"t","t","Mission","t","Guest suite","Entire home/apt",2,1,1,1,"Real Bed",125,875,2500,300,100,1,25,2,180,200,93,9,9,10,10,9,"t",3094,4758.39448589818,2685.57608712512,15117.2296018517,3843.09435988573,25,1.23024900828582,0.674999998596939,3.34846937195918
"92",0.308370044052863,"within an hour",100,"f",1,"t","t","Marina","t","Apartment","Private room",2,2,1,1,"Real Bed",90,630,2700,350,75,1,40,30,150,64,99,10,10,10,10,10,"f",2997,2440.6828842894,2876.06373096408,20673.9118931755,2384.53454221487,12,1.38449690824832,0.660937502421875,4.58437496051562
"93",0.184732824427481,"Missing",0,"f",1,"t","f","Inner Richmond","t","Apartment","Entire home/apt",2,1,0,1,"Real Bed",95,1050,2850,500,75,1,15,30,360,96,83,9,9,9,9,8,"f",3308,6884.37264093657,4916.92282493678,19419.3379760011,6121.72968480951,30,0.971822399445907,0.53076923221978,2.83076922412088
"94",0.43206106870229,"Missing",0,"f",31,"t","t","Outer Richmond","t","Apartment","Entire home/apt",6,2,3,4,"Real Bed",216,1512,5000,0,205,4,50,30,1125,12,96,9,10,10,9,9,"f",3119,9547.44612395937,7639.2593611251,20688.4463036597,8823.91112445275,35,1.17890215262775,0.583333330833333,3.53333332641667
